Index,CardNo,Sex,Major,AccessCardNo
1,180001,男,18国际金融,19762330
2,180002,男,18国际金融,20521594
3,180003,男,18国际金融,20513946
4,180004,男,18国际金融,20018058
5,180005,男,18国际金融,20945770
6,180006,男,18国际金融,21527898
7,180007,男,18国际金融,20521386
8,180008,男,18国际金融,20541770
9,180009,女,18国际金融,19607146
10,180010,女,18国际金融,21018938
11,180011,女,18国际金融,20440314
12,180012,女,18国际金融,19517642
13,180013,女,18国际金融,19519258
14,180014,女,18国际金融,20357530
15,180015,女,18国际金融,20617386
16,180016,女,18国际金融,20352810
17,180017,女,18国际金融,19750186
18,180018,女,18国际金融,19853738
19,180019,女,18国际金融,21241322
20,180020,女,18国际金融,19520922
21,180021,女,18国际金融,17608026
22,180022,女,18国际金融,18923114
23,180023,女,18国际金融,20705034
24,180024,女,18国际金融,20027626
25,180025,女,18国际金融,19937674
26,180026,女,18国际金融,20019018
27,180027,女,18国际金融,18348218
28,180028,女,18国际金融,20107898
29,180029,女,18国际金融,21444618
30,180030,女,18国际金融,19423594
31,180031,女,18国际金融,21222746
32,180032,女,18国际金融,18922474
33,180033,女,18国际金融,19748730
34,180034,女,18国际金融,23422538
35,180035,女,18国际金融,19037882
36,180036,女,18国际金融,17009130
37,180037,女,18国际金融,20022538
38,180038,女,18国际金融,19212874
39,180039,女,18国际金融,20104890
40,180040,女,18国际金融,20930186
41,180041,女,18国际金融,19748650
42,180042,女,18国际金融,19757914
43,180043,女,18国际金融,20245642
44,180044,女,18国际金融,21448826
45,180045,女,18国际金融,20017034
46,180046,女,18国际金融,19216810
47,180047,女,18国际金融,20934650
48,180048,女,18国际金融,18914938
49,180049,女,18国际金融,18603210
50,180050,女,18国际金融,21448858
51,180051,女,18国际金融,22301354
52,180052,女,18国际金融,14164250
53,180053,女,18国际金融,20200538
54,180054,女,18国际金融,20744490
55,180055,女,18国际金融,19306090
56,180056,女,18国际金融,19426282
57,180057,女,18国际金融,20762586
58,180058,女,18国际金融,19924794
59,180059,女,18国际金融,19528042
60,180060,女,18国际金融,19062058
61,180061,女,18国际金融,18647194
62,180062,女,18国际金融,21653626
63,180063,女,18国际金融,19362170
64,180064,女,18国际金融,23253370
65,180065,女,18国际金融,20705050
66,180066,女,18国际金融,19760746
67,180067,女,18国际金融,21027594
68,180068,女,18国际金融,21324538
69,180069,女,18国际金融,19562522
70,180070,女,18国际金融,20711866
71,180071,女,18国际金融,20022586
72,180072,男,18会计,20849882
73,180073,男,18会计,18348410
74,180074,男,18会计,19832682
75,180075,男,18会计,18407002
76,180076,男,18会计,19705882
77,180077,男,18会计,19659434
78,180078,男,18会计,19946842
79,180079,男,18会计,19350202
80,180080,男,18会计,20513402
81,180081,女,18会计,18929482
82,180082,女,18会计,21251402
83,180083,女,18会计,21159002
84,180084,女,18会计,21527562
85,180085,女,18会计,20122234
86,180086,女,18会计,21250842
87,180087,女,18会计,21016442
88,180088,女,18会计,20714234
89,180089,女,18会计,20541834
90,180090,女,18会计,20335898
91,180091,女,18会计,21649338
92,180092,女,18会计,20025690
93,180093,女,18会计,18549242
94,180094,女,18会计,19516138
95,180095,女,18会计,20305386
96,180096,女,18会计,19035098
97,180097,女,18会计,20354426
98,180098,女,18会计,19354730
99,180099,女,18会计,20618298
100,180100,女,18会计,19517130
101,180101,女,18会计,18840522
102,180102,女,18会计,18841034
103,180103,女,18会计,206762
104,180104,女,18会计,20945834
105,180105,女,18会计,19750842
106,180106,女,18会计,20929850
107,180107,女,18会计,20303914
108,180108,女,18会计,20431610
109,180109,女,18会计,18929402
110,180110,女,18会计,19117850
111,180111,女,18会计,18922730
112,180112,女,18会计,21655066
113,180113,女,18会计,20708138
114,180114,女,18会计,20165082
115,180115,女,18会计,19353802
116,180116,女,18会计,20159002
117,180117,女,18会计,21153690
118,180118,女,18会计,20451786
119,180119,女,18会计,19314090
120,180120,女,18会计,20116858
121,180121,女,18会计,20628426
122,180122,女,18会计,20942474
123,180123,女,18会计,19752362
124,180124,女,18会计,19841290
125,180125,女,18会计,20616026
126,180126,女,18会计,20912746
127,180127,女,18会计,21947050
128,180128,女,18会计,17301610
129,180129,女,18会计,20256058
130,180130,女,18会计,21221626
131,180131,女,18会计,19201450
132,180132,女,18会计,21203066
133,180133,女,18会计,21101322
134,180134,女,18会计,21106458
135,180135,女,18会计,20127226
136,180136,女,18会计,21063018
137,180137,女,18会计,18962938
138,180138,女,18会计,20033482
139,180139,女,18会计,20432122
140,180140,女,18会计,19928666
141,180141,女,18会计,18605434
142,180142,女,18会计,19207610
143,180143,女,18会计,19841146
144,180144,女,18会计,21158186
145,180145,女,18会计,14305130
146,180146,女,18会计,20156074
147,180147,女,18会计,21631130
148,180148,女,18会计,20761098
149,180149,女,18会计,20343994
150,180150,女,18会计,20747034
151,180151,女,18会计,18756714
152,180152,女,18会计,21903514
